1.7902,1.2942,9.475,-2.757,0.079,-0.137,217.9393,209.7602,3.7614,3
0.0741,0.5912,12.2814,-0.642,6.642,-1.02,207.6765,199.5333,3.9567,2
0.4158,-0.5553,8.8787,7.698,-10.108,-0.727,200.0816,191.9301,4.1088,3
-1.5804,0.7615,10.5495,0.343,3.237,5.933,182.4887,174.3938,4.5241,2
-0.2432,2.415,9.1592,-5.496,2.351,-0.856,175.0236,167.0324,4.7403,2
1.1257,-0.1779,8.844,-0.837,-3.278,-1.833,166.4946,158.5295,4.9941,1
-0.1065,0.4841,10.1262,-3.802,1.933,-0.124,166.0279,158.0446,5.0052,3
0.0924,1.6602,11.1696,-1.514,0.548,-0.784,150.5725,142.5558,5.527,1
0.4219,-0.6185,8.9613,-0.113,2.461,-0.414,136.5795,128.6289,6.126,2
-0.2636,-0.2982,8.9919,-1.85,1.234,-0.241,119.9927,112.0743,7.0117,1
2.3874,-1.9659,8.8644,2.216,-4.755,-0.531,108.3949,100.6023,7.8259,1
1.4878,-0.4247,10.3648,-4.897,2.944,0.514,114.1195,106.3869,7.4333,2
-0.6287,-0.5471,11.1176,-0.53,-3.78,0.305,104.2625,96.5205,8.1628,2
-0.0392,-1.3121,10.7341,2.176,-0.432,-0.386,87.4047,79.8312,9.8687,3
0.2719,-0.234,9.5713,-4.483,3.007,-0.722,78.0934,70.4943,11.1035,3
1.3562,0.1608,8.5329,1.871,1.962,-0.734,68.2861,60.9801,12.9086,2
-0.6491,-0.5451,11.2584,1.531,-0.658,-0.657,53.0897,46.3041,17.1182,3
0.7065,-0.2207,10.3689,-2.327,2.74,-1.073,49.2231,42.6396,18.6536,3
0.6993,1.0002,10.2016,0.963,-1.5,-1.144,49.2661,42.2505,18.4783,1
0.5127,1.2562,10.3975,-0.315,-2.142,-3.483,39.8414,33.6378,23.6633,3
1.9488,1.3144,9.9834,-2.757,0.079,-0.137,217.9393,209.7602,3.7614,3
-0.375,-1.443,10.535,1.322,-2.739,-0.007,201.3454,193.2293,4.088,2
2.059,-2.25,9.86,2.239,3.546,0.145,198.4826,190.3338,4.1431,3
-0.489,0.088,9.353,0.314,-2.996,-0.556,179.3562,171.2863,4.6094,3
0.354,-0.347,10.867,-0.791,-2.654,-0.343,173.5591,165.5097,4.7709,1
-2.399,-1.631,12.628,8.313,4.646,0.006,172.1611,164.0839,4.8056,2
0.986,-0.629,9.086,-1.154,0.996,0.069,157.1652,149.2182,5.3022,2
0.289,-1.036,10.533,-1.793,0.082,0.357,147.3036,139.394,5.6752,2
1.502,1.137,10.65,-2.316,-0.215,-0.13,134.5094,126.6734,6.2485,2
-1.761,-0.201,10.511,-0.676,-3.304,0.052,117.7936,109.8957,7.1526,2
-0.981,1.554,8.646,0.354,3.289,0.892,107.9987,100.1678,7.8457,2
0.609,-2.74,11.829,2.067,-2.809,0.511,116.0519,108.2965,7.2993,2
-1.689,0.165,12.256,-5.994,0.118,-0.461,103.9281,96.1994,8.1937,3
-0.921,-1.151,11.348,4.211,1.794,-1.145,87.0052,79.4362,9.9176,1
-0.172,-1.099,10.193,2.614,-0.083,-0.328,78.0151,70.5184,11.1489,2
-0.212,-1.601,9.644,11.446,-0.008,0.838,68.4088,61.2681,12.9396,1
0.969,-1.01,10.011,-1.972,-3.68,-1.367,55.5532,48.703,16.2782,2
1.379,0.535,10.67,-0.67,2.516,-0.397,56.3505,49.5155,16.0355,1
0.657,0.539,9.153,1.874,-2.938,-0.176,38.9098,32.7708,24.3122,2
0.124,-0.782,8.131,0.428,-3.48,-0.223,41.3375,34.7473,22.5909,1
0.424,1.559,11.378,-5.08,-3.662,-0.716,207.9426,199.8818,3.9641,2
-0.45,-1.4214,10.535,1.322,-2.739,-0.007,201.3454,193.2293,4.088,2
1.9384,-2.3547,9.86,2.239,3.546,0.145,198.4826,190.3338,4.1431,3
-0.4837,0.1135,9.353,0.314,-2.996,-0.556,179.3562,171.2863,4.6094,3
0.3354,-0.3651,10.867,-0.791,-2.654,-0.343,173.5591,165.5097,4.7709,1
-2.4811,-1.5032,12.628,8.313,4.646,0.006,172.1611,164.0839,4.8056,2
0.9517,-0.6797,9.086,-1.154,0.996,0.069,157.1652,149.2182,5.3022,2
0.2344,-1.0497,10.533,-1.793,0.082,0.357,147.3036,139.394,5.6752,2
1.5594,1.0568,10.65,-2.316,-0.215,-0.13,134.5094,126.6734,6.2485,2
-1.7691,-0.1086,10.511,-0.676,-3.304,0.052,117.7936,109.8957,7.1526,2
-0.8983,1.6032,8.646,0.354,3.289,0.892,107.9987,100.1678,7.8457,2
0.4648,-2.7681,11.829,2.067,-2.809,0.511,116.0519,108.2965,7.2993,2
